sender_bank,sender_account,receiver_bank,receiver_account,amount,timestamp
004,811549,005,368451,43131.23882639212,2024-03-17 02:32:21
003,177687,001,668195,26474.567198991917,2024-06-27 00:39:47
002,822494,004,817133,16817.00305902389,2024-07-14 20:47:36
003,178365,001,667647,39117.88461964813,2024-02-20 20:08:04
005,372038,005,375288,24829.439537915765,2024-04-30 18:39:40
003,178088,004,812913,16415.6304496104,2024-07-09 23:40:19
005,368676,004,820086,34587.21788467245,2024-03-10 23:00:31
004,815614,003,179198,21838.614391293828,2024-04-30 09:20:28
002,825419,003,174442,21081.95436705464,2024-07-18 02:14:07
004,813793,001,669757,41381.83502185439,2024-03-30 14:16:39
004,815994,004,819135,5862.145490504993,2024-03-05 15:18:26
005,373565,004,819481,19704.333331995866,2024-04-11 13:55:13
002,828539,004,816095,43134.75853670045,2024-12-28 08:42:34
004,813436,005,376743,19670.273366090893,2024-06-03 23:30:40
003,178302,005,367996,29221.019183898297,2024-02-18 06:55:41
004,812240,002,829423,7899.813128972369,2024-10-10 07:13:42
001,662436,005,368916,12614.362435174402,2024-04-25 13:29:31
005,371797,002,828771,14470.133089030798,2024-11-26 09:55:19
005,367945,001,662810,26307.163385834378,2024-08-21 16:45:17
002,820735,004,819399,36244.85413980656,2024-01-01 21:59:32
001,665011,001,661372,16534.513835618724,2024-07-10 08:10:37
002,826660,003,172545,34008.925033241365,2024-08-25 02:48:39
002,828256,001,662468,16792.087453364198,2024-07-24 03:22:11
002,823591,002,828712,8120.725714781674,2024-10-20 22:30:25
004,817848,005,375156,22115.54169462344,2024-02-01 04:16:18
003,170944,002,828746,29298.5903138194,2024-09-26 03:11:06
001,668163,001,663672,34958.51081597873,2024-05-11 03:39:03
004,820146,002,829661,21595.153454964195,2024-04-29 09:52:00
002,823103,005,370765,39338.49393912982,2024-07-31 00:35:01
005,373665,001,665770,11218.871755782437,2024-02-12 03:36:08
002,822517,001,664941,18492.104621339106,2024-09-23 13:19:12
004,816386,003,170895,6316.880039349609,2024-01-13 02:00:40
002,822714,003,178075,46839.403245630936,2024-07-29 22:41:53
004,811705,005,375637,36364.70573912755,2024-07-11 11:29:51
005,371154,002,820894,34632.441234189624,2024-12-16 00:42:05
005,371972,002,824471,47948.7534272183,2024-03-24 23:35:41
005,374714,005,373319,25933.66945393844,2024-08-22 15:45:21
002,823812,002,828017,18750.20315314653,2024-11-10 09:11:43
004,819788,001,663068,26416.299334709176,2024-06-05 16:49:11
004,818733,002,823474,11101.358162665736,2024-05-01 13:23:39
005,376891,001,667267,39058.19317145446,2024-05-06 13:53:03
001,663634,004,816085,43030.18375096715,2024-02-10 15:14:35
004,813384,002,826412,41734.64359973747,2024-09-08 13:10:04
003,178405,001,662358,31252.338079273803,2024-11-22 11:12:26
001,664201,003,173841,47274.57540639496,2024-08-31 17:28:38
003,172725,005,371143,46866.73901332027,2024-07-06 16:41:47
001,663708,002,827539,6027.081699397392,2024-08-19 14:53:01
005,371468,003,171293,33477.199055682744,2024-03-14 23:39:09
002,822359,003,175083,31238.859362291507,2024-02-14 19:02:24
001,661577,004,816638,14781.264837984738,2024-04-28 09:52:11
004,812945,003,177927,27486.57283404935,2024-05-07 19:24:15
005,372558,005,372364,45889.21425979372,2024-04-13 11:39:10
003,171459,001,668744,49946.77391197551,2024-08-26 03:29:19
003,178977,003,171707,30897.48247362647,2024-11-16 23:49:48
003,173859,002,827078,30897.48247362647,2024-01-09 11:24:02
005,374817,002,823413,31048.587042904797,2024-11-13 18:11:18
003,171073,002,822663,31048.587042904797,2024-12-07 23:02:18
002,823527,002,822280,31048.587042904797,2024-05-06 01:19:50
005,367922,002,827301,10394.24262740763,2024-01-29 02:42:58
001,665310,003,175043,4754.533393185648,2024-09-15 08:29:04
004,818830,004,814390,23494.29309778473,2024-07-05 08:01:29
005,369817,003,176235,13337.728475343049,2024-03-14 00:36:07
005,375121,005,372609,7086.699909791166,2024-11-20 14:25:08
003,174694,001,670398,10658.09875416777,2024-09-29 07:09:25
005,370530,002,821742,48563.39969458603,2024-11-11 23:22:44
003,173166,004,813831,19102.850774155017,2024-05-02 13:02:29
002,824152,005,369486,44345.07647645535,2024-10-22 21:02:43
001,663735,001,666499,31379.70250571397,2024-05-26 01:12:45
004,819852,001,669102,31379.70250571397,2024-07-13 07:35:50
004,819614,003,178559,31379.70250571397,2024-06-23 06:53:06
